mission,launch_date,operator,carrier_rocket,spacecraft,mission_type,outcome,country
Pioneer 0(Able I),17-Aug-58,USAF,Thor DM-18 Able I,Pioneer 0,Orbiter,Launch failure,United States
Luna E-1 No.1,23-Sep-58,OKB-1,Luna,Luna E-1 No.1,Impactor,Launch failure,Soviet Union
Pioneer 1(Able II),11-Oct-58,NASA,Thor DM-18 Able I,Pioneer 1,Orbiter,Launch failure,United States
Luna E-1 No.2,11-Oct-58,OKB-1,Luna,Luna E-1 No.2,Impactor,Launch failure,Soviet Union
Pioneer 2(Able III),8-Nov-58,NASA,Thor DM-18 Able I,Pioneer 2,Orbiter,Launch failure,United States
Luna E-1 No.3,4-Dec-58,OKB-1,Luna,Luna E-1 No.3,Impactor,Launch failure,Soviet Union
Pioneer 3,6-Dec-58,NASA,Juno II,Pioneer 3,Flyby,Launch failure,United States
Luna 1(E-1 No.4),2-Jan-59,OKB-1,Luna,Luna 1,Impactor,Partial failure,Soviet Union
Pioneer 4,3-Mar-59,NASA,Juno II,Pioneer 4,Flyby,Partial failure,United States
E-1A No.1,18-Jun-59,OKB-1,Luna,E-1A No.1,Impactor,Launch failure,Soviet Union
Luna 2(E-1A No.2),12-Sep-59,OKB-1,Luna,Luna 2,Impactor,Success,Soviet Union
Luna 3(E-2A No.1),4-Oct-59,OKB-1,Luna,Luna 3,Flyby,Success,Soviet Union
Pioneer P-3Able IVB,26-Nov-59,NASA,Atlas-D Able,Pioneer P-3,Orbiter,Launch failure,United States
Luna E-3 No.1,15-Apr-60,OKB-1,Luna,Luna E-3 No.1,Flyby,Launch failure,Soviet Union
Luna E-3 No.2,16-Apr-60,OKB-1,Luna,Luna E-3 No.2,Flyby,Launch failure,Soviet Union
Pioneer P-30(Able VA),25-Sep-60,NASA,Atlas-D Able,Pioneer P-30,Orbiter,Launch failure,United States
Pioneer P-31(Able VB),15-Dec-60,NASA,Atlas-D Able,Pioneer P-31,Orbiter,Launch failure,United States
Ranger 3(P-34),26-Jan-62,NASA,Atlas LV-3 Agena-B,Ranger 3,Impactor,Spacecraft failure,United States
