laua,laua_name,Median download speed (Mbit/s),Average download speed (Mbit/s),Minimum download speed (Mbit/s),Maximum download speed (Mbit/s),Average download speed (Mbit/s) for lines < 10Mbit/s,Average download speed (Mbit/s) for lines 10<30Mbit/s,Average download speed (Mbit/s) for SFBB lines,Average download speed (Mbit/s) for UFBB lines,Median upload speed (Mbit/s),Average upload speed (Mbit/s),Minimum upload speed (Mbit/s),Maximum upload speed (Mbit/s),Average upload speed (Mbit/s) for lines < 10Mbit/s,Average upload speed (Mbit/s) for lines 10<30Mbit/s,Average upload speed (Mbit/s) for SFBB lines,Average upload speed (Mbit/s) for UFBB lines,Number of connections < 2 Mbit/s (number of lines),Number of connections 2<5 Mbit/s (number of lines),Number of connections 5<10 Mbit/s (number of lines),"Number of connections 10<30 Mbit/s (number of lines) ",Number of connections 30<300 Mbit/s (number of lines),Number of connections >= 300 Mbit/s (number of lines),Number of connections >= 30 Mbit/s (number of lines),Average data usage (GB) for lines < 10Mbit/s,Average data usage (GB) for Basic BB lines,Average data usage (GB) for SFBB lines,Average data usage (GB) for UFBB lines
S12000033,Aberdeen City,20.5,29.2,0.1,300.0,6.1,16.8,51.7,300.0,1.3,6.4,0.1,60.0,0.9,1.8,13.1,60.0,1144,5224,12949,32513,37894,1,37895,138,235,318,478
S12000034,Aberdeenshire,20.4,27.6,0.1,80.0,5.4,18.3,51.9,,1.2,5.6,0.1,20.0,0.8,1.8,12.5,,3449,8457,14829,32963,36995,0,36995,105,189,303,
E07000223,Adur,50.0,66.2,0.1,300.0,6.5,17.7,93.6,300.0,6.0,6.6,0.1,20.0,1.0,1.7,9.4,20.0,126,558,1756,5944,15342,64,15406,131,215,241,557
E07000026,Allerdale,21.6,29.6,0.1,80.0,4.7,17.9,52.2,,1.3,6.2,0.1,20.0,0.8,1.6,12.7,,1456,3062,3496,12433,15250,0,15250,87,184,287,
E07000032,Amber Valley,22.1,29.6,0.1,300.0,5.6,17.8,51.5,300.0,1.8,6.2,0.1,20.0,0.9,1.9,12.3,20.0,748,3497,6206,14166,19041,5,19046,106,212,308,228
S12000041,Angus,21.0,33.5,0.1,300.0,5.6,18.0,63.7,300.0,1.3,5.5,0.1,20.0,0.8,1.7,11.7,20.0,1146,3116,6044,16422,17743,19,17762,106,220,324,378
N09000001,Antrim and Newtownabbey,40.0,47.5,0.1,300.0,5.1,17.8,73.2,300.0,6.0,7.0,0.1,30.0,0.8,1.8,11.0,20.0,1457,3509,5208,10708,28834,36,28870,133,244,302,376
N09000011,Ards and North Down,38.7,37.0,0.1,300.0,5.3,18.0,56.9,300.0,7.1,7.8,0.1,20.0,0.8,1.9,12.9,20.0,1222,3862,5886,13085,30041,5,30046,113,203,288,469
S12000035,Argyll and Bute,19.0,26.7,0.1,80.0,5.6,18.6,54.3,,1.2,5.3,0.1,20.0,0.7,1.8,12.8,,1464,3340,7645,11814,12975,0,12975,77,163,269,
N09000002,"Armagh City, Banbridge and Craigavon",28.5,32.5,0.1,80.0,5.0,17.8,53.8,,5.3,7.0,0.1,20.0,0.8,1.8,12.9,,2667,5399,7868,17591,32639,0,32639,130,242,326,
E07000224,Arun,23.0,29.8,0.1,300.0,5.9,17.5,50.6,300.0,4.0,6.6,0.1,60.0,0.9,2.1,12.7,60.0,816,4064,8506,18209,26079,1,26080,114,204,304,427
E07000170,Ashfield,50.0,65.0,0.1,300.0,5.7,17.5,89.5,300.0,6.0,6.3,0.1,20.0,0.9,1.8,8.6,20.0,504,2078,3893,8087,30656,71,30727,137,249,255,340
E07000105,Ashford,39.8,45.9,0.1,300.0,4.9,18.4,71.8,300.0,6.0,6.8,0.1,60.0,0.8,2.1,11.0,20.6,1526,3933,4691,9048,25082,62,25144,118,197,317,438
E07000004,Aylesbury Vale,39.7,62.3,0.1,1000.0,5.3,18.0,69.2,965.5,6.0,7.1,0.1,60.0,0.8,1.8,11.8,39.1,1595,5126,7699,16256,37284,1421,38705,117,215,282,25
E07000200,Babergh,24.4,46.3,0.1,1000.0,5.1,18.3,53.5,996.0,3.6,6.3,0.1,20.0,0.8,2.1,12.0,20.0,1342,2668,3922,9973,14861,527,15388,88,173,259,0
E09000002,Barking and Dagenham,40.0,58.6,0.1,300.0,5.7,16.7,85.1,300.0,6.0,6.3,0.1,20.0,0.9,1.7,9.2,20.0,822,3913,7532,10063,39404,119,39523,212,326,325,482
E09000003,Barnet,39.3,43.0,0.1,300.0,6.2,17.0,67.6,300.0,6.0,7.4,0.1,20.0,0.9,1.8,12.4,20.0,1102,5879,16582,32076,68025,104,68129,164,249,330,459
E08000016,Barnsley,33.4,41.3,0.1,300.0,5.3,17.5,68.5,300.0,3.8,5.9,0.1,20.0,0.9,1.9,10.1,20.0,1955,7298,10517,20210,43071,72,43143,132,236,300,395
E07000027,Barrow-in-Furness,33.4,33.2,0.1,80.0,5.4,17.8,52.0,,6.5,7.5,0.1,20.0,0.9,1.7,13.2,,431,1659,2445,7464,12807,0,12807,115,225,343,
E07000066,Basildon,40.0,54.4,0.1,300.0,6.0,17.3,84.3,300.0,6.0,6.4,0.1,20.0,0.9,1.9,10.1,20.0,747,3611,7735,16486,39113,107,39220,147,269,317,478
E07000084,Basingstoke and Deane,40.0,47.0,0.1,303.3,4.9,18.2,69.9,300.0,6.0,7.4,0.1,60.0,0.8,2.0,11.4,20.8,1602,5260,5802,12309,37816,94,37910,116,196,315,507
E07000171,Bassetlaw,30.5,33.5,0.1,300.0,4.8,18.1,54.9,300.0,5.6,6.6,0.1,20.0,0.8,2.2,11.6,20.0,1622,3656,4365,10421,20342,1,20343,89,210,301,214
E06000022,Bath and North East Somerset,30.5,41.5,0.1,300.0,5.5,17.7,69.7,300.0,3.7,6.3,0.1,60.0,0.8,1.7,11.2,22.2,1305,4550,7724,19504,33435,36,33471,105,202,269,364
E06000055,Bedford,40.0,58.3,0.1,328.7,5.0,18.3,83.3,300.3,6.0,6.8,0.1,60.0,0.8,1.8,9.8,25.8,1453,3970,4846,11820,39855,97,39952,117,213,262,569
N09000003,Belfast,50.0,64.7,0.1,300.0,6.0,17.0,88.2,300.0,6.0,6.7,0.1,20.0,0.9,1.5,9.1,20.0,1236,4747,11043,24041,89027,203,89230,150,242,260,467
E09000004,Bexley,39.8,51.8,0.1,300.0,5.6,17.1,83.4,300.0,5.0,6.4,0.1,32.3,0.8,1.7,10.4,20.0,1250,6481,11092,18476,46635,134,46769,156,273,304,508
E08000025,Birmingham,42.1,59.0,0.1,300.0,6.1,16.7,89.4,300.0,5.0,5.5,0.1,42.8,0.9,1.4,8.3,20.0,3520,17092,41473,75395,208154,542,208696,185,263,293,403
E07000129,Blaby,39.8,47.1,0.1,300.0,5.3,18.2,72.5,300.0,6.0,6.9,0.1,20.0,0.9,2.0,10.9,20.0,593,2754,3866,6899,19460,27,19487,111,200,263,370
E06000008,Blackburn with Darwen,40.0,49.7,0.1,300.0,6.0,16.6,75.5,300.0,5.4,6.3,0.1,20.0,0.8,1.7,9.6,20.0,550,2792,6521,9157,27935,53,27988,168,251,322,537
E06000009,Blackpool,40.0,53.2,0.1,300.0,6.3,17.3,83.1,300.0,5.0,6.2,0.1,20.0,0.9,1.4,10.0,20.0,416,1708,5076,15102,28932,57,28989,123,248,315,512
W06000019,Blaenau Gwent,22.5,28.9,0.1,80.0,5.7,18.1,48.8,,1.3,6.0,0.1,20.0,0.9,1.7,12.1,,356,1511,2741,8352,9870,0,9870,146,263,383,
E07000033,Bolsover,25.0,38.6,0.1,300.0,5.7,17.5,65.8,300.0,3.0,17.0,0.1,300010.0,0.9,1.7,33.9,20.0,424,1657,3063,8909,12995,8,13003,127,234,316,219
E08000001,Bolton,40.0,57.9,0.1,329.5,5.8,17.1,84.9,300.8,5.0,6.2,0.1,50.0,0.9,1.6,9.1,20.9,1079,5588,10559,19765,61802,166,61968,146,245,273,415
E07000136,Boston,22.5,29.4,0.1,80.0,5.3,17.6,51.4,,2.9,6.5,0.1,20.0,0.9,2.1,12.7,,702,2233,3352,6225,10212,0,10212,139,236,335,
E06000028,Bournemouth,40.0,59.2,0.1,300.0,6.1,17.7,84.3,300.0,6.0,6.9,0.1,49.9,0.9,1.6,10.0,20.0,492,2581,6106,16452,45389,124,45513,118,226,283,404
E06000036,Bracknell Forest,40.0,56.3,0.1,300.0,5.0,18.2,79.4,300.0,6.0,7.4,0.1,20.0,0.8,2.4,10.5,20.0,916,3592,3967,6246,28373,77,28450,135,267,308,516
E08000032,Bradford,40.0,51.2,0.1,300.0,6.0,17.4,81.7,300.0,4.6,5.5,0.1,20.0,0.9,1.6,8.9,20.0,1852,8596,20375,43931,92800,174,92974,161,264,285,426
E07000067,Braintree,21.1,29.6,0.1,80.0,5.4,17.7,52.7,,1.3,6.2,0.1,20.0,0.8,1.7,13.0,,1464,3939,6722,18698,22409,0,22409,120,214,330,
E07000143,Breckland,21.7,28.9,0.1,80.0,5.2,18.0,51.3,,1.4,6.1,0.1,20.0,0.8,2.0,12.4,,1639,4101,6369,15800,20407,0,20407,94,197,304,
E09000005,Brent,39.8,48.1,0.1,300.0,6.0,16.7,75.5,300.0,5.0,6.7,0.1,60.0,0.9,1.5,10.9,20.8,1094,4625,11357,24881,53695,98,53793,192,306,356,467
E07000068,Brentwood,27.7,31.6,0.1,1000.0,5.4,17.7,52.4,1000.0,5.8,7.0,0.1,20.0,0.9,2.2,12.8,,795,2260,3884,7541,13781,1,13782,117,221,328,0
W06000013,Bridgend,28.2,30.8,0.1,80.0,5.5,18.0,50.4,,5.5,6.7,0.1,20.0,0.8,1.9,12.1,,979,4098,6796,12832,23786,0,23786,136,241,332,
E06000043,Brighton and Hove,50.0,66.9,0.1,329.8,6.1,16.8,91.4,301.6,6.0,7.1,0.1,50.0,0.9,1.5,9.7,21.7,877,3618,9432,20866,74125,330,74455,138,219,278,412
E06000023,"Bristol, City of",50.0,66.6,0.1,300.0,6.5,16.9,94.9,300.0,5.0,5.8,0.1,20.0,0.9,1.4,8.3,20.0,947,4458,15092,37944,108227,241,108468,161,237,246,372
E07000144,Broadland,34.8,41.6,0.1,300.0,5.0,18.0,68.2,300.0,5.0,6.6,0.1,60.0,0.9,2.2,11.2,21.5,1362,4519,5191,11055,24737,26,24763,89,171,244,321
E09000006,Bromley,40.0,59.5,0.1,300.0,6.2,17.3,87.3,300.0,6.0,6.6,0.1,20.0,0.9,1.9,9.7,20.0,974,4524,12122,28402,75567,172,75739,135,228,257,334
E07000234,Bromsgrove,37.5,40.3,0.1,1000.0,5.4,17.7,63.2,469.0,6.0,7.2,0.1,60.0,0.9,2.4,11.7,27.3,773,2810,4473,7275,18934,29,18963,106,192,273,293
E07000095,Broxbourne,50.0,66.0,0.1,300.0,5.0,18.0,88.8,300.0,6.0,7.5,0.1,20.0,0.8,2.2,10.0,20.0,623,2436,2902,4514,24610,81,24691,136,267,280,369
E07000172,Broxtowe,50.0,68.3,0.1,300.0,5.6,17.6,92.5,300.0,6.0,6.5,0.1,20.0,0.9,1.9,8.7,20.0,471,2104,3835,6275,28800,89,28889,112,209,229,371
E07000117,Burnley,40.0,56.8,0.1,300.0,5.6,17.0,82.7,300.0,6.0,6.3,0.1,20.0,0.8,1.7,9.1,20.0,451,1824,3524,5556,19855,10,19865,128,249,278,321
E08000002,Bury,39.1,43.8,0.1,300.0,6.0,17.3,68.7,300.0,6.0,6.8,0.1,20.0,0.9,1.9,11.1,20.0,712,3709,8966,16253,37237,52,37289,136,238,306,403
W06000018,Caerphilly,29.2,30.4,0.1,80.0,5.3,17.9,49.4,,5.6,6.7,0.1,20.0,0.9,2.0,12.1,,1390,5517,8121,15819,30329,0,30329,141,249,380,
E08000033,Calderdale,24.4,39.9,0.1,300.0,5.6,17.5,70.1,300.0,3.0,5.8,0.1,20.0,0.9,1.8,10.6,20.0,1375,5743,10558,19903,34459,40,34499,127,223,295,467
E07000008,Cambridge,50.0,66.6,0.1,329.7,5.8,17.1,87.0,307.6,6.0,6.9,0.1,60.0,0.8,1.6,8.9,31.7,403,1760,3499,6930,32145,144,32289,115,189,234,416
E09000007,Camden,40.0,56.7,0.1,300.0,6.8,17.0,87.4,300.0,3.0,6.2,0.1,60.0,0.9,1.2,9.9,26.5,400,1377,6772,29190,50364,144,50508,117,214,253,281
E07000192,Cannock Chase,35.0,38.7,0.1,300.0,6.2,16.6,62.1,300.0,6.0,6.8,0.1,20.0,0.9,1.9,11.5,20.0,345,1925,5332,8728,18462,29,18491,138,239,327,506
E07000106,Canterbury,22.4,29.1,0.1,80.0,5.6,17.7,50.5,,3.6,6.4,0.1,20.0,0.9,2.2,12.6,,1067,4414,7509,16184,22958,0,22958,137,244,344,
W06000015,Cardiff,50.0,61.0,0.1,329.6,5.4,17.0,84.3,300.3,6.0,6.9,0.1,49.9,0.9,1.7,9.6,20.4,1898,7721,12341,18103,84896,160,85056,152,250,285,477
E07000028,Carlisle,38.2,38.5,0.1,1000.0,4.9,17.7,62.9,533.3,6.0,7.2,0.1,1000.0,0.8,1.9,12.0,346.7,1414,4657,5336,6896,21250,18,21268,106,181,284,406
W06000010,Carmarthenshire,19.8,27.3,0.1,80.0,4.8,17.5,51.2,,1.2,5.7,0.1,20.0,0.8,1.8,12.3,,3235,7300,8603,18716,25687,0,25687,92,197,338,
E07000069,Castle Point,37.9,46.1,0.1,300.0,6.3,17.3,72.8,300.0,6.0,6.8,0.1,20.0,0.9,2.0,11.0,20.0,338,1486,4520,7986,17879,23,17902,123,223,326,519
N09000004,Causeway Coast and Glens,33.3,34.7,0.1,106.3,5.2,17.9,55.6,,6.4,7.5,0.1,20.0,0.8,1.8,13.2,,1657,2981,5090,12438,23638,0,23638,105,204,286,
E06000056,Central Bedfordshire,40.0,53.7,0.1,1000.0,5.4,18.1,80.4,706.5,6.0,6.7,0.1,60.0,0.9,1.8,10.3,23.2,1737,5267,8757,26537,59655,174,59829,109,217,262,169
W06000008,Ceredigion,16.9,25.5,0.1,80.0,4.6,18.2,55.6,,1.2,5.1,0.1,20.0,0.7,1.6,13.2,,1854,3548,4075,7202,8290,0,8290,70,162,267,
E07000130,Charnwood,40.0,56.2,0.1,300.0,5.5,18.3,81.6,300.0,6.0,6.6,0.1,20.0,0.8,1.8,9.8,20.0,831,3183,5473,13713,38497,92,38589,116,202,259,398
E07000070,Chelmsford,38.1,44.9,0.1,300.0,5.6,17.6,72.0,300.0,5.9,6.7,0.1,20.0,0.8,2.0,11.0,20.0,1252,4624,8570,15028,35226,80,35306,128,218,285,390
E07000078,Cheltenham,50.0,60.7,0.1,1000.0,5.1,17.6,84.9,309.9,6.0,7.2,0.1,60.0,0.8,2.0,10.1,24.9,937,3350,4167,6922,30728,101,30829,100,178,246,466
E07000177,Cherwell,39.8,48.0,0.1,1000.0,5.5,17.8,63.7,910.1,6.8,7.8,0.1,60.0,0.8,1.9,12.3,29.4,919,3432,5702,12168,30450,366,30816,114,210,291,49
E06000049,Cheshire East,35.0,40.3,0.1,300.0,5.6,17.5,65.3,300.0,5.7,6.8,0.1,24.0,0.8,1.9,11.6,20.0,3018,9861,17903,35500,74883,38,74921,108,190,275,299
E06000050,Cheshire West and Chester,30.4,36.6,0.1,300.0,5.5,17.9,60.4,300.0,5.0,6.6,0.1,35.6,0.9,1.9,11.7,20.0,2508,9512,15566,34932,63124,47,63171,115,211,303,334
E07000034,Chesterfield,34.4,37.7,0.1,300.0,5.6,17.7,61.2,300.0,6.0,6.6,0.1,20.0,0.9,2.1,11.3,20.0,638,3267,5586,8074,19682,9,19691,114,219,313,1232
E07000225,Chichester,22.9,30.0,0.1,106.3,5.3,18.0,52.1,,2.7,6.5,0.1,20.0,0.9,2.1,12.9,,1405,3550,5700,14742,19918,0,19918,93,165,263,
E07000005,Chiltern,39.6,47.7,0.1,300.0,5.8,18.2,73.7,300.0,6.0,7.2,0.1,20.0,0.9,2.2,11.4,20.0,458,1844,3909,8994,20037,19,20056,97,189,258,303
E07000118,Chorley,39.8,48.4,0.1,300.0,5.2,18.2,73.1,300.0,6.0,11.6,0.1,196702.1,0.8,1.9,18.8,20.0,798,2377,3545,9881,23361,36,23397,105,191,262,462
