laua,laua_name,Median download speed (Mbit/s),Average download speed (Mbit/s),Maximum download speed (Mbit/s),Average download speed (Mbit/s) for lines < 10Mbit/s,Average download speed (Mbit/s) for lines 10<30Mbit/s,Average download speed (Mbit/s) for lines 30<300Mbit/s,Average download speed (Mbit/s) for SFBB lines,Average download speed (Mbit/s) for UFBB lines,Median upload speed (Mbit/s),Average upload speed (Mbit/s),Maximum upload speed (Mbit/s),Average upload speed (Mbit/s) for lines < 10Mbit/s,Average upload speed (Mbit/s) for lines 10<30Mbit/s,Average upload speed (Mbit/s) for lines 30<300Mbit/s,Average upload speed (Mbit/s) for SFBB lines,Average upload speed (Mbit/s) for UFBB lines,Number of connections < 2Mbit/s (number of lines),Number of connections 2<5 Mbit/s (number of lines),Number of connections 5<10 Mbit/s (number of lines),Number of connections 10<30 Mbit/s (number of lines),Number of connections 30<300 Mbit/s (number of lines),Number of connections >=300 Mbit/s (number of lines),Number of connections >=30 Mbit/s (number of lines),Average data usage (GB),Median data usage (GB),Average data usage (GB) for lines <10Mbits,Average data usage (GB) for lines 10<30Mbit/s,Average data usage (GB) for lines 30<300Mbit/s,Average data usage (GB) for SFBB lines,Average data usage (GB) for UFBB lines
S12000033,Aberdeen City,38,36.2,360,6.1,17.3,53.5,54,360,8.4,8.8,360,1,2.1,13.8,14.4,360,731,3390,8197,24799,46989,82,47071,350.4,184,158.4,284.7,427.2,426.8,205.8
S12000034,Aberdeenshire,32.2,34.4,81.42,5.4,18.6,54.2,54.2,,6.4,7.5,20.36,0.8,2.1,13,13,,2210,5789,9557,26384,46842,0,46842,296.2,145.4,129.6,248.2,379.7,379.7,
E07000223,Adur,60.9,79.5,500,6.5,17.9,94.2,105.1,351.3,6.5,8.1,21.11,1.1,1.9,6,5.8,0,86,366,1288,4740,15729,692,16421,284.6,145.8,152,240.4,303.6,307.1,386.6
E07000026,Allerdale,39.1,37,82.96,4.8,18.1,54.8,54.8,,8.2,8.3,21.18,0.8,1.8,13.4,13.4,,872,1836,2207,9594,19087,0,19087,297.6,137,103,223.9,379.7,379.7,
E07000032,Amber Valley,38.7,41.9,350,5.8,18.3,59.8,63,349.7,7.2,8.1,49.99,0.9,2.3,12.1,12,0.5,462,2374,4287,11772,24952,285,25237,324,154.6,136.7,282.3,390.4,390.2,368.3
S12000041,Angus,34.2,41.4,350,5.5,18.3,62.6,65.9,350,5.8,7.4,24.59,0.9,2,11.6,11.5,0,838,2034,3853,13191,22018,262,22280,313.6,146.6,125.9,269.5,390.5,389.8,329.7
N09000001,Antrim and Newtownabbey,40,60.4,500,5.2,18.1,75.1,83.4,350.2,8.9,8.8,49.98,0.8,1.9,10,9.7,0.2,901,2503,3594,8615,31722,979,32701,309,184.4,160.7,275,332.7,334.6,399.1
N09000011,Ards and North Down,43.5,59.7,500,5.3,18.3,71.4,79.5,350.4,9.8,9.6,30,0.9,2,11.2,10.9,0,708,2505,3659,9975,38522,1158,39680,301.4,161.4,133.4,231.6,342.6,342.7,346.7
S12000035,Argyll and Bute,29.2,34.3,83.2,5.5,18.9,55.7,55.7,,5.8,7.2,20.8,0.7,2.1,13,13,,991,2114,4334,9857,17002,0,17002,246.2,102.4,92.6,189.8,339.7,339.7,
N09000002,"Armagh City, Banbridge and Craigavon",39.1,41.8,350,5.1,18.2,58.8,60.2,350,8.9,8.9,20,0.8,2,13.2,13.2,0,1504,3633,5209,14009,38663,180,38843,342.4,193,145.1,293.4,406.5,406.5,388.1
E07000224,Arun,37,37,360,6,18,52.1,54.5,359.9,8.2,10,360,1,2.5,13.3,16,357.1,485,2703,5665,14695,31485,247,31732,318.6,132.8,127.8,268.6,391,389.8,242.2
E07000170,Ashfield,57.1,77,500,5.7,17.9,89.3,99.1,350.2,7.6,8.2,21.15,0.9,2,5.7,5.5,0,327,1506,2828,6908,32245,1252,33497,324.8,173.2,166.5,336.9,336.5,339.2,408.7
E07000105,Ashford,40,58.7,500,5,18.9,72.4,80.7,351.1,9,9.7,360,0.8,2.5,10.1,10.9,33.9,897,2626,3034,7238,28197,864,29061,356.8,169.2,138.2,289.6,417,417,415.8
E07000004,Aylesbury Vale,40,68.2,1000,5.4,18.3,70.2,95.6,360.4,9.8,29.3,1000,0.8,2.1,12.8,37.4,293.3,956,3303,4910,13175,40985,3933,44918,315.2,163,133.2,261.6,366.3,361.5,311.3
E07000200,Babergh,38.4,38.8,500,5.3,19,54.7,56.4,356.7,7.5,8.8,360,0.9,2.5,12.4,13.4,188.7,718,1588,2616,8185,18416,103,18519,275.8,120.4,110.5,217,341.5,341.2,287.8
E09000002,Barking and Dagenham,54.1,72,500,5.8,17.1,85.9,93.6,350.2,9.8,8.7,48.83,0.9,2.1,6.9,6.7,0,500,2584,5109,7467,42756,1297,44053,452.4,281.6,245.8,421.1,485.5,486.1,505
E09000003,Barnet,40,56,500,6.3,17.4,70.6,76.2,350.2,9.8,9.7,49.99,1,2.1,11.7,11.5,0,607,3410,10029,21981,74936,1534,76470,406,221,182.2,303.5,469.9,468.8,410.9
E08000016,Barnsley,40,51.9,500,5.4,18.1,69.3,74.3,350.2,7.6,8.1,25.18,0.9,2.3,9.5,9.3,0,1148,4990,7288,16971,52689,960,53649,415.6,190.8,156.1,332.5,499.4,498,423.5
