laua,laua_name,All Premises,All Matched Premises,SFBB availability (% premises),UFBB availability (% premises),Full Fibre availability (% premises),% of premises unable to receive 2Mbit/s,% of premises unable to receive 5Mbit/s,% of premises unable to receive 10Mbit/s,% of premises unable to receive 30Mbit/s,% of premises below the USO,% of premises with NGA,% of premises able to receive decent broadband from FWA,% of premises able to receive SFBB from FWA,Number of premises with SFBB availability,Number of premises with UFBB availability,Number of premises with Full Fibre availability,Number of premises unable to receive 2Mbit/s,Number of premises unable to receive 5Mbit/s,Number of premises unable to receive 10Mbit/s,Number of premises unable to receive 30Mbit/s,Number of premises below the USO,Number of premises with NGA,Number of premises able to receive decent broadband from FWA,Number of premises able to receive SFBB from FWA,Number of premises with 30<300Mbit/s download speed,Number of premises with >=300Mbit/s download speed,Number of premises with 0<2Mbit/s download speed,Number of premises with 2<5Mbit/s download speed,Number of premises with 5<10Mbit/s download speed,Number of premises with 10<30Mbit/s download speed,% of premises with 30<300Mbit/s download speed,% of premises with >=300Mbit/s download speed,% of premises with 0<2Mbit/s download speed,% of premises with 2<5Mbit/s download speed,% of premises with 5<10Mbit/s download speed,% of premises with 10<30Mbit/s download speed
S12000033,ABERDEEN CITY,118503,118403,73.7,20.3,13.3,0.0,0.1,0.6,5.9,0.7,97.5,0.0,0.0,111356,24059,15777,35,153,739,7047,886,115500,0,0,87297,24059,35,118,586,6308,73.7,20.3,0.0,0.1,0.5,5.3
S12000034,ABERDEENSHIRE,117190,116500,78.4,2.8,2.6,2.6,5.9,9.9,18.2,11.0,93.6,0.0,0.0,95146,3234,3095,2997,6960,11624,21354,12937,109706,0,0,91912,3234,2997,3963,4664,9730,78.4,2.8,2.6,3.4,4.0,8.3
E07000223,ADUR,28236,28228,14.8,84.1,0.7,0.0,0.0,0.1,1.1,0.2,99.3,0.0,0.0,27907,23734,189,0,12,38,321,46,28029,0,0,4173,23734,0,12,26,283,14.8,84.1,0.0,0.0,0.1,1.0
E07000026,ALLERDALE,46382,46336,90.7,1.6,1.6,1.1,2.4,3.4,7.6,3.5,98.6,1.6,1.6,42812,762,762,510,1115,1562,3524,1641,45755,764,728,42050,762,510,605,447,1962,90.7,1.6,1.1,1.3,1.0,4.2
E07000032,AMBER VALLEY,56761,56707,67.1,25.9,22.7,0.1,0.8,1.9,6.9,2.1,98.4,0.0,0.0,52797,14712,12910,79,481,1099,3910,1189,55865,0,0,38085,14712,79,402,618,2811,67.1,25.9,0.1,0.7,1.1,5.0
S12000041,ANGUS,56761,56470,72.0,14.1,1.4,1.4,3.7,7.1,13.4,7.8,94.8,0.0,0.0,48845,7986,807,786,2114,4020,7625,4441,53783,0,0,40859,7986,786,1328,1906,3605,72.0,14.1,1.4,2.3,3.4,6.4
N09000001,ANTRIM AND NEWTOWNABBEY,57564,57364,34.8,56.7,25.1,1.7,3.0,3.9,8.1,4.2,98.9,0.0,0.0,52688,32659,14459,961,1718,2243,4676,2444,56951,0,0,20029,32659,961,757,525,2433,34.8,56.7,1.7,1.3,0.9,4.2
N09000011,ARDS AND NORTH DOWN,68862,68733,30.5,64.0,59.1,0.5,1.2,2.2,5.3,2.4,99.7,0.0,0.0,65089,44099,40671,361,792,1516,3644,1656,68635,0,0,20990,44099,361,431,724,2128,30.5,64.0,0.5,0.6,1.1,3.1
S12000035,ARGYLL AND BUTE,48953,47926,76.8,0.9,0.9,2.9,5.6,10.6,20.2,13.2,88.7,0.0,0.0,38029,447,446,1443,2748,5169,9897,6470,43423,0,0,37582,447,1443,1305,2421,4728,76.8,0.9,2.9,2.7,4.9,9.7
N09000002,"ARMAGH CITY, BANBRIDGE AND CRAIGAVON",80209,79891,49.8,37.8,38.0,1.6,3.3,5.1,12.0,5.6,98.4,0.0,0.0,70258,30323,30492,1274,2624,4113,9633,4497,78924,1,0,39935,30323,1274,1350,1489,5520,49.8,37.8,1.6,1.7,1.9,6.9
E07000224,ARUN,74701,74696,91.7,5.0,2.8,0.1,0.1,0.3,3.3,0.4,99.7,0.0,0.0,72257,3761,2081,54,90,223,2439,274,74497,0,0,68496,3761,54,36,133,2216,91.7,5.0,0.1,0.0,0.2,3.0
E07000170,ASHFIELD,56301,56292,13.0,85.6,1.2,0.0,0.3,0.4,1.4,0.4,99.3,0.0,0.0,55520,48190,703,5,182,221,772,232,55902,0,0,7330,48190,5,177,39,551,13.0,85.6,0.0,0.3,0.1,1.0
E07000105,ASHFORD,53726,53711,45.5,44.8,5.0,0.4,1.7,3.6,9.7,3.9,98.6,0.0,0.0,48509,24084,2666,196,936,1959,5202,2090,52950,0,0,24425,24084,196,740,1023,3243,45.5,44.8,0.4,1.4,1.9,6.0
E07000004,AYLESBURY VALE,83529,83509,48.0,44.2,11.5,0.4,1.5,2.8,7.8,3.0,96.4,0.0,0.0,77021,36936,9567,335,1215,2359,6488,2507,80549,0,0,40085,36936,335,880,1144,4129,48.0,44.2,0.4,1.1,1.4,4.9
E07000200,BABERGH,40571,40539,82.0,10.7,6.3,0.4,1.1,1.8,7.2,1.9,99.0,0.0,0.0,37601,4332,2576,179,435,734,2938,786,40156,0,0,33269,4332,179,256,299,2204,82.0,10.7,0.4,0.6,0.7,5.4
E09000002,BARKING AND DAGENHAM,77269,76755,8.5,90.1,46.6,0.0,0.3,0.3,0.7,1.0,98.6,0.0,0.0,76216,69638,36015,11,194,254,539,790,76224,0,0,6578,69638,11,183,60,285,8.5,90.1,0.0,0.2,0.1,0.4
E09000003,BARNET,150741,150736,46.1,51.3,18.2,0.0,0.0,0.0,2.6,0.2,98.5,0.0,0.0,146787,77286,27480,0,11,73,3949,346,148491,0,0,69501,77286,0,11,62,3876,46.1,51.3,0.0,0.0,0.0,2.6
E08000016,BARNSLEY,110878,110871,42.3,55.5,14.3,0.1,0.2,0.4,2.2,0.5,99.5,0.0,0.0,108415,61518,15857,98,219,453,2456,519,110328,0,0,46897,61518,98,121,234,2003,42.3,55.5,0.1,0.1,0.2,1.8
E07000027,BARROW-IN-FURNESS,33622,33603,97.9,0.6,0.6,0.1,0.2,0.4,1.4,0.4,99.9,0.1,0.1,33136,209,209,46,72,122,467,141,33601,34,34,32927,209,46,26,50,345,97.9,0.6,0.1,0.1,0.1,1.0
E07000066,BASILDON,78769,78703,28.7,67.7,9.7,0.0,0.2,0.7,3.6,0.9,99.2,0.0,0.0,75894,53310,7613,7,144,583,2809,685,78159,0,0,22584,53310,7,137,439,2226,28.7,67.7,0.0,0.2,0.6,2.8
E07000084,BASINGSTOKE AND DEANE,76050,76036,51.3,44.2,15.6,0.4,0.9,1.8,4.5,1.9,98.9,0.0,0.0,72602,33624,11831,272,721,1346,3434,1449,75236,0,0,38978,33624,272,449,625,2088,51.3,44.2,0.4,0.6,0.8,2.7
E07000171,BASSETLAW,51738,51679,65.9,29.6,4.3,0.4,0.7,1.0,4.4,1.1,99.5,6.8,5.0,49400,15312,2211,190,340,511,2279,592,51458,3519,2569,34088,15312,190,150,171,1768,65.9,29.6,0.4,0.3,0.3,3.4
E06000022,BATH AND NORTH EAST SOMERSET,82561,82500,47.0,43.9,16.1,0.2,0.7,1.8,9.1,2.2,95.1,0.0,0.0,74984,36216,13302,197,541,1477,7516,1840,78525,0,0,38768,36216,197,344,936,6039,47.0,43.9,0.2,0.4,1.1,7.3
E06000055,BEDFORD,75710,75705,26.5,70.4,5.9,0.1,0.3,0.7,3.1,0.7,99.1,0.0,0.0,73380,53336,4471,89,249,511,2325,539,75039,0,0,20044,53336,89,160,262,1814,26.5,70.4,0.1,0.2,0.3,2.4
N09000003,BELFAST,154022,153852,7.1,91.7,45.5,0.0,0.0,0.2,1.1,0.5,99.0,0.0,0.0,152106,141199,70082,21,66,318,1746,743,152483,0,0,10907,141199,21,45,252,1428,7.1,91.7,0.0,0.0,0.2,0.9
E09000004,BEXLEY,98329,98289,21.2,75.8,11.9,0.0,0.0,0.7,3.0,1.3,97.7,0.0,0.0,95374,74570,11747,24,49,694,2915,1252,96039,0,0,20804,74570,24,25,645,2221,21.2,75.8,0.0,0.0,0.7,2.3
E08000025,BIRMINGHAM,435426,435303,14.1,82.7,19.8,0.0,0.1,0.7,3.2,1.0,96.8,0.0,0.0,421470,359886,86338,50,359,3060,13833,4301,421626,0,0,61584,359886,50,309,2701,10773,14.1,82.7,0.0,0.1,0.6,2.5
E07000129,BLABY,42869,42860,32.5,65.6,33.6,0.1,0.2,0.3,1.9,0.4,99.1,0.0,0.0,42042,28116,14420,22,87,126,818,190,42472,0,0,13926,28116,22,65,39,692,32.5,65.6,0.1,0.2,0.1,1.6
E06000008,BLACKBURN WITH DARWEN,60983,60971,33.9,64.0,3.6,0.1,0.2,0.5,2.1,0.5,99.6,47.7,23.6,59677,39033,2211,41,146,296,1294,312,60714,29068,14370,20644,39033,41,105,150,998,33.9,64.0,0.1,0.2,0.2,1.6
E06000009,BLACKPOOL,71173,71155,32.3,66.8,0.4,0.0,0.0,0.0,0.9,0.1,99.2,0.0,0.0,70542,47547,267,0,9,20,613,38,70622,0,0,22995,47547,0,9,11,593,32.3,66.8,0.0,0.0,0.0,0.8
W06000019,BLAENAU GWENT,32813,32808,96.3,1.0,1.0,0.0,0.1,0.5,2.6,0.5,99.7,0.0,0.0,31956,341,341,9,26,167,852,172,32700,9,0,31615,341,9,17,141,685,96.3,1.0,0.0,0.1,0.4,2.1
E07000033,BOLSOVER,36237,36234,65.9,27.7,3.4,0.2,0.4,0.8,6.4,1.1,98.7,0.0,0.0,33915,10032,1216,68,158,288,2319,411,35781,0,0,23883,10032,68,90,130,2031,65.9,27.7,0.2,0.2,0.4,5.6
E08000001,BOLTON,124513,124504,28.9,69.7,0.7,0.0,0.1,0.3,1.4,0.4,99.4,4.5,2.6,122798,86771,822,21,105,331,1706,445,123798,5584,3180,36027,86771,21,84,226,1375,28.9,69.7,0.0,0.1,0.2,1.1
E07000136,BOSTON,30697,30627,87.1,2.9,2.9,1.1,2.4,3.5,9.8,3.7,97.7,3.1,3.1,27623,891,891,347,743,1070,3004,1146,29982,946,944,26732,891,347,396,327,1934,87.1,2.9,1.1,1.3,1.1,6.3
E06000058,"BOURNEMOUTH, CHRISTCHURCH AND POOLE",184231,184142,20.4,78.4,14.3,0.2,0.2,0.3,1.2,0.3,99.4,0.0,0.0,181892,144351,26420,304,313,506,2250,621,183216,0,0,37541,144351,304,9,193,1744,20.4,78.4,0.2,0.0,0.1,0.9
E06000036,BRACKNELL FOREST,50399,50397,44.9,50.5,2.9,0.1,0.3,1.4,4.5,1.4,98.1,0.0,0.0,48123,25474,1472,67,146,694,2274,726,49464,0,0,22649,25474,67,79,548,1580,44.9,50.5,0.1,0.2,1.1,3.1
E08000032,BRADFORD,200263,199856,31.1,65.6,2.1,0.1,0.3,0.6,3.0,0.8,98.2,44.7,16.3,193797,131472,4241,149,516,1120,6059,1626,196755,89611,32684,62325,131472,149,367,604,4939,31.1,65.6,0.1,0.2,0.3,2.5
