laua,laua_name,Median download speed (Mbit/s),Average download speed (Mbit/s),Maximum download speed (Mbit/s),Average download speed (Mbit/s) for lines < 10Mbit/s,Average download speed (Mbit/s) for lines 10<30Mbit/s,Average download speed (Mbit/s) for lines 30<300Mbit/s,Average download speed (Mbit/s) for SFBB lines,Average download speed (Mbit/s) for UFBB lines,Median upload speed (Mbit/s),Average upload speed (Mbit/s),Maximum upload speed (Mbit/s),Average upload speed (Mbit/s) for lines < 10Mbit/s,Average upload speed (Mbit/s) for lines 10<30Mbit/s,Average upload speed (Mbit/s) for lines 30<300Mbit/s,Average upload speed (Mbit/s) for SFBB lines,Average upload speed (Mbit/s) for UFBB lines,Number of connections < 2Mbit/s (number of lines),Number of connections 2<5 Mbit/s (number of lines),Number of connections 5<10 Mbit/s (number of lines),Number of connections 10<30 Mbit/s (number of lines),Number of connections 30<300 Mbit/s (number of lines),Number of connections >=300 Mbit/s (number of lines),Number of connections >=30 Mbit/s (number of lines),Average data usage (GB),Median data usage (GB),Average data usage (GB) for lines <10Mbits,Average data usage (GB) for lines 10<30Mbit/s,Average data usage (GB) for lines 30<300Mbit/s,Average data usage (GB) for SFBB lines,Average data usage (GB) for UFBB lines,Full-fibre take-up (% of full-fibre coverage),Full-fibre take-up (% of all premises)
S12000033,ABERDEEN CITY,59.9,90.5,1000,6.2,19.8,71.9,105.2,684.3,16.7,17.3,300,1.1,3.3,15.8,19.1,76.6,207,561,1740,10655,62054,3567,65621,523,317,129,313,515,590.4924992,1910,29,24
S12000034,ABERDEENSHIRE,50.3,79.7,1000,5.1,20.1,66.8,101.2,708.7,10,14.9,220,0.9,3.2,15.2,19,86.2,1098,2569,3862,16385,67588,3831,71419,469,292,143,318,513,545.7355897,1120,45,12
E07000223,ADUR,80,191.2,1000,6.5,19.8,110.8,213.4,610.6,20,20.1,115,1.2,3.3,15.5,22.1,47.4,32,91,334,2281,17047,4405,21452,512,320,119,313,484,548.7916326,891,15,10
E07000026,ALLERDALE,52.2,58.4,1000,4.9,19.9,60.8,69,673,11,13.2,1219.49,0.9,3,14.9,15.8,83.5,332,593,833,6026,30388,414,30802,428,265,118,298,466,469.1937843,704,64,4
E07000032,AMBER VALLEY,57.8,103.2,1000,5.7,20.5,74.5,121.5,668,15,19.9,1000,1.1,3.6,16.1,23.3,107.9,148,482,970,6815,36241,3122,39363,481,308,117,326,482,524.555485,1148,27,16
S12000041,ANGUS,51.4,90.2,1000,5.3,20,71.6,113,635.1,10,13.8,220,0.9,3.3,14.6,17.3,50.4,421,993,1701,7563,32224,2552,34776,475,296,152,344,521,535.1291419,805,31,6
N09000001,ANTRIM AND NEWTOWNABBEY,80,197,1000,5,19.3,111.9,219.9,634.8,20,24.8,1219.49,0.9,2.9,18,26.8,60.5,313,749,1062,3758,37272,9700,46972,628,391,143,306,599,711.4321556,1238,38,35
N09000011,ARDS AND NORTH DOWN,80,186.7,1000,5.4,19.5,104.1,206.4,651.3,20,25.3,1219.49,0.9,3,18.3,27,65.1,235,643,1112,4478,45831,10529,56360,543,331,135,269,544,605.2795221,921,48,44
S12000035,ARGYLL AND BUTE,40.7,53.8,1000,5.2,20,60.2,71,696.9,10,11.4,1219.49,0.8,3,14.1,15.3,85.7,629,1083,1988,8659,26901,466,27367,378,212,113,268,442,446.8723713,723,49,3
N09000002,"ARMAGH CITY, BANBRIDGE AND CRAIGAVON",80,154.3,1110.43,5.2,19.4,98.7,179.1,608.6,20,22.2,1219.49,0.9,2.7,17,23.6,58.6,497,1185,1835,7548,52469,9811,62280,543,357,151,326,575,637.9259505,1059,45,40
E07000224,ARUN,51.1,81.6,1000,6.1,20.6,64.3,96.6,722.6,12,19.5,1000,1.1,4,15.5,23.1,169.4,148,523,1423,9590,47067,2428,49495,520,287,125,332,519,591.637421,2196,33,11
E07000170,ASHFIELD,80,183,1000,5.6,20.1,110.4,201.7,601.6,19.9,19.1,940,0.9,3.5,15.3,20.8,45.2,116,389,719,3554,34739,7923,42662,533,356,152,357,528,571.5994267,833,19,7
E07000105,ASHFORD,74,151.5,1000,5.1,20,89.9,175.8,662,18.5,26.8,1219.49,0.9,3.6,16.3,30.7,112,378,739,1190,5064,35092,6201,41293,536,367,140,331,558,592.4537095,873,30,16
E07000200,BABERGH,52.7,89.1,1000,5.5,21,66.1,104.5,682.8,11.2,20.1,1219.49,1.1,3.9,15.1,23.6,150.4,170,293,615,5397,27712,1841,29553,444,267,115,305,466,484.5164567,792,35,13
E09000002,BARKING AND DAGENHAM,125,196.1,1000,5.5,19,113.7,210.5,620.6,20,22.1,1000,1,3.8,15.9,22.1,48.1,195,585,1109,2874,48792,11520,60312,799,563,198,470,775,895.1725122,1559,31,23
E09000003,BARNET,72.9,132.4,1000,6.4,19.5,84.6,147.7,648.4,19.2,18.1,3573.55,1.2,3.8,15.7,19.1,45.9,213,674,2372,11778,100693,12698,113391,526,392,159,379,546,554.5357841,687,25,10
E08000016,BARNSLEY,64.2,130.3,1000,5.7,20.7,87.7,147.9,603.2,15,16.6,1219.49,1.1,4.1,15.1,18.6,45.3,235,773,1594,9635,69014,9133,78147,545,370,153,404,556,584.72335,905,30,8
E07000027,BARROW-IN-FURNESS,57.3,128.4,1000,5.7,20.5,60.8,144.1,901.2,17,81.4,940,1.1,3.9,15.5,92.3,790,81,192,413,2560,20668,2274,22942,493,331,129,332,519,525.2700064,857,16,9
