laua,laua_name,All Premises,All Matched Premises,SFBB availability (% premises),UFBB (100Mbit/s) availability (% premises),UFBB availability (% premises),Full Fibre availability (% premises),Gigabit availability (% premises),% of premises unable to receive 2Mbit/s,% of premises unable to receive 5Mbit/s,% of premises unable to receive 10Mbit/s,% of premises unable to receive 30Mbit/s,% of premises below the USO,% of premises with NGA,% of premises able to receive decent broadband from FWA,Number of premises with SFBB availability,Number of premises with UFBB (100Mbit/s) availability,Number of premises with UFBB availability,Number of premises with Full Fibre availability,Number of premises with Gigabit availability,Number of premises unable to receive 2Mbit/s,Number of premises unable to receive 5Mbit/s,Number of premises unable to receive 10Mbit/s,Number of premises unable to receive 30Mbit/s,Number of premises below the USO,Number of premises with NGA,Number of premises able to receive decent broadband from FWA,Number of premises with 30<300Mbit/s download speed,Number of premises with >=300Mbit/s download speed,Number of premises with 0<2Mbit/s download speed,Number of premises with 2<5Mbit/s download speed,Number of premises with 5<10Mbit/s download speed,Number of premises with 10<30Mbit/s download speed,% of premises with 30<300Mbit/s download speed,% of premises with >=300Mbit/s download speed,% of premises with 0<2Mbit/s download speed,% of premises with 2<5Mbit/s download speed,% of premises with 5<10Mbit/s download speed,% of premises with 10<30Mbit/s download speed
S12000033,ABERDEEN CITY,131099,131031,97.5,90.1,89.7,89.2,89.2,0,0.1,0.3,2.4,0,98.4,0,127873,118155,117634,116975,116975,54,179,346,3158,50,128989,0,10239,117634,54,125,167,2812,7.8,89.7,0,0.1,0.1,2.1
S12000034,ABERDEENSHIRE,129752,129432,87.9,35.7,35.7,35.6,35.6,1.6,3.7,6.6,11.8,2.1,95.9,0,114090,46365,46274,46205,46205,2055,4846,8530,15342,2775,124491,0,67816,46274,2055,2791,3684,6812,52.3,35.7,1.6,2.2,2.8,5.3
E07000223,ADUR,30149,30109,99.1,94.3,94.3,74.3,94.3,0,0,0.1,0.7,0,99.6,0,29884,28418,28418,22405,28418,0,11,36,225,7,30022,0,1466,28418,0,11,25,189,4.9,94.3,0,0,0.1,0.6
E07000032,AMBER VALLEY,63517,63385,97.4,81.2,80.5,79.9,80,0.1,0.3,0.4,2.4,0.1,99.4,0,61881,51555,51158,50781,50796,47,159,244,1504,80,63139,0,10723,51158,47,112,85,1260,16.9,80.5,0.1,0.2,0.1,2
S12000041,ANGUS,61878,61680,89.1,54.2,54.2,43.8,54.2,1,2.7,5.4,10.5,1.4,95.7,0,55163,33565,33525,27099,33520,630,1681,3317,6517,864,59241,0,21638,33525,630,1051,1636,3200,35,54.2,1,1.7,2.6,5.2
N09000001,ANTRIM AND NEWTOWNABBEY,65861,65816,99.3,95.7,95.7,95,95.6,0.1,0.2,0.2,0.6,0.1,99.8,0,65427,63014,62999,62588,62994,58,108,146,389,40,65753,1,2428,62999,58,50,38,243,3.7,95.7,0.1,0.1,0.1,0.4
N09000011,ARDS AND NORTH DOWN,78794,78760,99.4,95.1,95.1,94.5,95.1,0.1,0.1,0.2,0.5,0.1,99.9,0,78337,74925,74925,74460,74925,45,93,160,423,56,78750,0,3412,74925,45,48,67,263,4.3,95.1,0.1,0.1,0.1,0.3
S12000035,ARGYLL AND BUTE,57716,56973,84,14.5,14.5,14.5,14.5,2.8,4.6,7.7,14.7,3.8,91.6,0,48498,8386,8386,8385,8386,1625,2660,4470,8475,2211,52873,0,40112,8386,1625,1035,1810,4005,69.5,14.5,2.8,1.8,3.1,6.9
N09000002,"ARMAGH CITY, BANBRIDGE AND CRAIGAVON",95098,94972,98.4,91.8,91.8,91.8,91.8,0.2,0.4,0.6,1.5,0.2,99.6,0.2,93546,87266,87266,87266,87266,177,390,579,1426,235,94750,162,6280,87266,177,213,189,847,6.6,91.8,0.2,0.2,0.2,0.9
E07000224,ARUN,81871,81802,97.6,50.8,48.7,47.4,47.5,0,0.1,0.2,2.3,0.1,99.9,0,79897,41612,39855,38824,38854,27,60,134,1905,84,81767,0,40042,39855,27,33,74,1771,48.9,48.7,0,0,0.1,2.2
E07000170,ASHFIELD,60492,60446,98.6,91.8,91.7,48.9,91.6,0,0.3,0.4,1.4,0,99.1,0,59620,55537,55469,29571,55423,17,201,254,826,11,59969,1,4151,55469,17,184,53,572,6.9,91.7,0,0.3,0.1,0.9
E07000105,ASHFORD,61299,61234,93.1,72.1,71.1,61.9,70.4,0.3,1.5,2.7,6.8,0.4,98.3,34.9,57095,44177,43558,37973,43155,190,950,1625,4139,263,60272,21402,13537,43558,190,760,675,2514,22.1,71.1,0.3,1.2,1.1,4.1
E07000200,BABERGH,45854,45784,97.1,60.8,60.7,60.6,60.7,0.2,0.5,0.7,2.8,0.2,99.6,4.1,44509,27897,27841,27797,27825,102,216,319,1275,86,45663,1867,16668,27841,102,114,103,956,36.4,60.7,0.2,0.2,0.2,2.1
E09000002,BARKING AND DAGENHAM,83735,83620,98.9,94.1,94.1,86.1,94.1,0,0.4,0.6,1,0,98.8,0,82778,78800,78779,72073,78776,29,336,517,842,21,82763,0,3999,78779,29,307,181,325,4.8,94.1,0,0.4,0.2,0.4
E09000003,BARNET,165185,165068,98.2,73.1,71.2,44.2,69.4,0,0,0.1,1.7,0,98.9,0,162225,120824,117583,73066,114610,0,8,225,2843,28,163339,0,44642,117583,0,8,217,2618,27,71.2,0,0,0.1,1.6
E08000016,BARNSLEY,120038,119930,98.7,84.2,82.8,49.4,81.6,0.1,0.2,0.3,1.2,0,99.4,35.7,118470,101089,99342,59307,97947,67,212,387,1460,40,119288,42824,19128,99342,67,145,175,1073,15.9,82.8,0.1,0.1,0.1,0.9
E07000066,BASILDON,84677,84593,98.8,89.4,88.9,63.4,88.5,0,0.2,0.4,1.1,0,99.3,0,83638,75677,75319,53702,74938,22,145,336,955,19,84083,0,8319,75319,22,123,191,619,9.8,88.9,0,0.1,0.2,0.7
E07000084,BASINGSTOKE AND DEANE,84307,84262,96.9,75,74.5,61.4,74.3,0.1,0.5,0.8,3.1,0.2,99,0,81688,63269,62846,51773,62631,111,392,698,2574,142,83466,0,18842,62846,111,281,306,1876,22.3,74.5,0.1,0.3,0.4,2.2
E07000171,BASSETLAW,60382,60223,96.8,72.5,71.9,65.8,71.4,0.4,0.7,1.1,3,0.1,99.2,25.6,58423,43778,43402,39702,43116,216,438,646,1800,84,59885,15470,15021,43402,216,222,208,1154,24.9,71.9,0.4,0.4,0.3,1.9
E06000022,BATH AND NORTH EAST SOMERSET,90347,90192,95.9,75.7,71.4,57,68,0.1,0.2,0.5,3.9,0.1,97.5,0,86625,68401,64521,51507,61431,68,198,412,3567,89,88076,0,22104,64521,68,130,214,3155,24.5,71.4,0.1,0.1,0.2,3.5
E06000055,BEDFORD,83986,83841,97.7,82.2,80.8,56.5,79.6,0.2,0.4,0.7,2.2,0.1,99,0,82022,69016,67900,47411,66888,151,301,560,1819,65,83165,1,14122,67900,151,150,259,1259,16.8,80.8,0.2,0.2,0.3,1.5
N09000003,BELFAST,174524,174238,98.9,95.6,95.6,90.6,95.6,0,0.1,0.3,0.9,0,99,0,172629,166773,166771,158087,166773,30,90,516,1609,81,172702,0,5858,166771,30,60,426,1093,3.4,95.6,0,0,0.2,0.6
E09000004,BEXLEY,105500,105458,98.7,91.8,91.6,78.4,91.5,0,0.1,0.4,1.3,0,98.8,0,104106,96812,96618,82681,96495,27,90,460,1352,7,104275,0,7488,96618,27,63,370,892,7.1,91.6,0,0.1,0.4,0.8
E08000025,BIRMINGHAM,486151,483272,97,93.7,93.2,64.1,92.9,0,0.2,0.5,2.4,0,97,0,471622,455487,453021,311686,451670,65,834,2523,11650,151,471780,0,18601,453021,65,769,1689,9127,3.8,93.2,0,0.2,0.3,1.9
E07000129,BLABY,46356,46319,98.7,80.8,79.5,70.6,78.6,0.1,0.1,0.3,1.3,0,99.4,0,45733,37435,36831,32723,36419,30,68,131,586,11,46066,0,8902,36831,30,38,63,455,19.2,79.5,0.1,0.1,0.1,1
E06000008,BLACKBURN WITH DARWEN,69339,69274,98.1,86.2,86,70.6,85.8,0,0.2,0.3,1.8,0,99.3,66.8,67992,59753,59618,48936,59508,29,151,227,1282,22,68839,46326,8374,59618,29,122,76,1055,12.1,86,0,0.2,0.1,1.5
E06000009,BLACKPOOL,78575,78103,98.9,83.9,83.9,35.7,83.9,0,0,0,0.5,0.1,99,74.6,77722,65916,65916,28032,65916,8,11,13,381,53,77784,58604,11806,65916,8,3,2,368,15,83.9,0,0,0,0.5
W06000019,BLAENAU GWENT,35614,35568,97.4,53,51.5,50.4,50.4,0.1,0.3,0.5,2.4,0.1,99.5,0,34704,18868,18344,17946,17946,30,101,188,864,27,35443,0,16360,18344,30,71,87,676,45.9,51.5,0.1,0.2,0.2,1.9
E07000033,BOLSOVER,40550,40506,98.1,83.6,81.3,74.2,79.8,0.1,0.1,0.4,1.8,0.1,99.6,0,39762,33888,32947,30091,32361,23,56,164,744,41,40385,0,6815,32947,23,33,108,580,16.8,81.3,0.1,0.1,0.3,1.4
E08000001,BOLTON,135769,135335,98.7,93.5,92.9,65.4,92.3,0,0.1,0.2,1,0,99.2,0,133976,126969,126157,88820,125311,37,135,332,1359,30,134747,0,7819,126157,37,98,197,1027,5.8,92.9,0,0.1,0.1,0.8
E07000136,BOSTON,34250,34193,95.2,76,76,76,76,0.5,1.2,1.8,4.6,0.5,99.1,1.4,32602,26038,26038,26038,26038,169,412,621,1591,171,33941,480,6564,26038,169,243,209,970,19.2,76,0.5,0.7,0.6,2.8
E06000058,"BOURNEMOUTH, CHRISTCHURCH AND POOLE",201074,200351,98.8,90.4,89.4,71.5,88.7,0.1,0.1,0.1,0.9,0,99.3,0,198576,181857,179753,143737,178284,127,146,258,1775,31,199719,0,18823,179753,127,19,112,1517,9.4,89.4,0.1,0,0.1,0.8
E06000036,BRACKNELL FOREST,56116,56060,98.8,95.1,95,92.8,94.6,0,0.1,0.2,1.1,0,99.5,0,55469,53386,53289,52100,53084,12,53,103,591,20,55808,0,2180,53289,12,41,50,488,3.9,95,0,0.1,0.1,0.9
E08000032,BRADFORD,225840,225491,97.9,91.1,90.2,69.3,89.4,0.1,0.2,0.3,1.9,0,98.9,71.3,221186,205768,203720,156536,201892,142,379,678,4305,11,223301,161087,17466,203720,142,237,299,3627,7.7,90.2,0.1,0.1,0.1,1.6
E07000067,BRAINTREE,74694,74579,98.2,86.9,86.9,86.9,86.9,0.1,0.3,0.6,1.6,0.1,99.3,11.8,73380,64924,64924,64923,64924,85,214,417,1199,105,74187,8822,8456,64924,85,129,203,782,11.3,86.9,0.1,0.2,0.3,1
E07000143,BRECKLAND,69164,69072,95.1,58.8,58,57.4,57.4,0.5,1,1.7,4.8,0.9,99,0.1,65753,40640,40105,39675,39675,340,697,1166,3319,608,68470,38,25648,40105,340,357,469,2153,37.1,58,0.5,0.5,0.7,3.1
E09000005,BRENT,143519,142721,97.6,86.6,84.8,68.6,83.9,0,0.1,0.3,1.8,0.1,97.7,0,140085,124231,121695,98515,120428,2,105,405,2636,111,140159,0,18390,121695,2,103,300,2231,12.8,84.8,0,0.1,0.2,1.6
E07000068,BRENTWOOD,36845,36811,97.2,79.5,79.5,79.5,79.5,0.1,0.4,0.5,2.7,0.1,98.5,0.3,35821,29297,29297,29296,29297,21,134,169,990,22,36280,98,6524,29297,21,113,35,821,17.7,79.5,0.1,0.3,0.1,2.2
W06000013,BRIDGEND,68539,68484,98.5,84.7,82.9,81.2,81.2,0,0.1,0.2,1.5,0,99.7,17.9,67483,58023,56792,55623,55659,29,92,162,1001,10,68315,12296,10691,56792,29,63,70,839,15.6,82.9,0,0.1,0.1,1.2
