laua,laua_name,Average max download speed (Mbit/s) for lines <10Mbit/s,Average max download speed (Mbit/s) for lines 10<30Mbit/s,Average max download speed (Mbit/s) for lines 30<100Mbit/s,Average max download speed (Mbit/s) for lines 100<300Mbit/s,Average max download speed (Mbit/s) for lines 300<900Mbit/s,Average max download speed (Mbit/s) for lines >=900Mbit/s,Average max upload speed (Mbit/s) for lines <10Mbit/s,Average max upload speed (Mbit/s) for lines 10<30Mbit/s,Average max upload speed (Mbit/s) for lines 30<100Mbit/s,Average max upload speed (Mbit/s) for lines 100<300Mbit/s,Average max upload speed (Mbit/s) for lines 300<900Mbit/s,Average max upload speed (Mbit/s) for lines >=900Mbit/s,Average monthly data usage (GB) per connection (all technologies),Average monthly data usage (GB) per full-fibre connection,Full-fibre take-up (% of full-fibre coverage),Full-fibre take-up (% of all premises)
S12000033,ABERDEEN CITY,6.2,18.5,68,145,517,960,1.1,1.8,29.8,53,279,778,408,563,39,35
S12000034,ABERDEENSHIRE,6.1,19.5,61,155,506,999,1.1,2.3,14.7,29,72,118,437,613,51,18
E07000223,ADUR,6.3,19.1,61,199,478,1097,1.2,1.9,14.7,27,60,208,493,596,29,22
E07000032,AMBER VALLEY,6.1,19,61,183,492,1048,1.1,2.1,14.8,36,132,314,460,629,37,30
S12000041,ANGUS,6,19.3,56,197,483,1106,1.1,2.2,13.4,26,58,119,425,596,26,11
N09000001,ANTRIM AND NEWTOWNABBEY,5.9,18.7,65,184,465,1060,1,1.8,15.5,27,66,118,534,621,53,50
N09000011,ARDS AND NORTH DOWN,5.8,18.3,66,177,465,1046,1,1.7,16,28,68,117,481,568,63,60
S12000035,ARGYLL AND BUTE,6.5,20.1,60,172,493,1029,1.1,2.1,14.5,29,68,114,386,530,38,6
N09000002,"ARMAGH CITY, BANBRIDGE AND CRAIGAVON",5.9,18.6,65,167,429,1029,1,1.7,15.8,29,76,134,520,588,62,56
E07000224,ARUN,6.2,18.6,59,151,500,985,1.1,2.3,15.4,39,119,484,427,541,40,19
E07000170,ASHFIELD,6,18.2,59,208,468,1125,0.9,2,13.3,25,48,108,480,719,27,13
E07000105,ASHFORD,5.3,19.4,63,189,483,1077,1,2.7,15.6,29,65,147,530,677,44,27
E07000200,BABERGH,5.9,19.7,60,163,477,1002,1.2,2.7,17.3,45,169,227,441,742,37,22
E09000002,BARKING AND DAGENHAM,5.8,17.9,62,190,484,1063,1.2,2.2,19.3,41,103,648,628,783,45,39
E09000003,BARNET,6.4,18.6,60,197,474,1069,1.3,2.5,18.6,55,159,622,561,633,36,16
