The original source of this data is from the Bank for International Settlements
https://data.bis.org/topics/CBPOL/data?ref=bambooweekly.com&filter=FREQ%3DM%255ETIMESPAN%3D2000-01-01_2025-11-03

TIME_PERIOD:Period,AR:Argentina,AU:Australia,BR:Brazil,CA:Canada,CH:Switzerland,CL:Chile,CN:China,CO:Colombia,CZ:Czechia,DK:Denmark,GB:United Kingdom,GR:Greece,HK:Hong Kong SAR,HR:Croatia,HU:Hungary,ID:Indonesia,IL:Israel,IN:India,IS:Iceland,JP:Japan,KR:Korea,KW:Kuwait,MA:Morocco,MK:North Macedonia,MX:Mexico,MY:Malaysia,NO:Norway,NZ:New Zealand,PE:Peru,PH:Philippines,PL:Poland,RO:Romania,RS:Serbia,RU:Russia,SA:Saudi Arabia,SE:Sweden,TH:Thailand,TR:Türkiye,US:United States,XM:Euro area,ZA:South Africa
2000-01-31,7.21,5.0,19.0,4.75,1.75,5.25,5.85,12.0,5.25,3.3,5.75,9.5,7.0,10.0,13.0,,10.3,8.0,9.33,,4.75,,,9.5,19.25,5.5,5.5,5.25,,8.75,16.5,,26.34,45.0,6.25,3.25,,,5.5,3.0,11.75
2000-02-29,6.12,5.5,19.0,5.0,2.25,5.25,5.85,12.0,5.25,3.6,6.0,9.5,7.25,10.0,13.0,,9.9,8.0,9.6,,5.0,,,9.5,17.38,5.5,5.5,5.25,,8.75,17.5,,28.39,45.0,6.25,3.75,,,5.75,3.25,11.75
2000-03-31,6.37,5.5,18.5,5.25,3.0,5.5,5.85,12.0,5.25,3.85,6.0,8.75,7.5,10.0,12.0,,9.6,8.0,9.6,,5.0,,,9.5,13.87,5.5,5.5,5.75,,8.75,17.5,,26.34,33.0,6.25,3.75,,,6.0,3.5,11.75
2000-04-30,6.31,5.75,18.5,5.25,3.0,5.5,5.85,12.0,5.25,4.1,6.0,8.0,7.5,10.0,11.0,,9.3,7.0,9.6,,5.0,,,9.45,14.46,5.5,5.75,6.0,,8.75,17.5,,27.33,33.0,6.25,3.75,,,6.0,3.75,11.75
2000-05-31,6.82,6.0,18.5,5.75,3.0,5.5,5.85,12.0,5.25,4.1,6.0,8.0,8.0,4.0,11.0,,9.3,7.0,9.6,,5.0,,,9.73,16.23,5.5,5.75,6.5,,10.0,17.5,,26.34,33.0,7.0,3.75,1.5,,6.5,3.75,11.75
2000-06-30,7.13,6.0,17.5,5.75,3.5,5.5,5.85,12.0,5.25,4.7,6.0,7.25,8.0,6.83,11.0,,9.3,7.0,10.06,,5.0,,,8.59,18.06,5.5,6.25,6.5,,10.0,17.5,,27.33,33.0,7.0,3.75,1.5,,6.5,4.25,11.75
2000-07-31,6.69,6.0,16.5,5.75,3.5,5.5,5.85,12.0,5.25,4.7,6.0,7.25,8.0,6.0,11.0,,9.1,8.0,10.06,,5.0,,,9.45,13.75,5.5,6.25,6.5,,10.0,17.5,,26.34,28.0,7.0,3.75,1.5,,6.5,4.25,11.75
2000-08-31,7.81,6.25,16.5,5.75,3.5,5.0,5.85,12.0,5.25,5.1,6.0,7.25,8.0,3.43,11.0,,8.9,8.0,10.06,0.25,5.0,,,8.59,15.51,5.5,6.75,6.5,,10.0,19.0,,26.34,28.0,7.0,3.75,1.5,,6.5,4.25,11.75
2000-09-30,8.25,6.25,16.5,5.75,3.5,5.0,5.85,12.0,5.25,5.6,6.0,6.5,8.0,2.0,11.0,,8.6,8.0,10.06,0.25,5.0,,,8.45,15.89,5.5,7.0,6.5,,11.0,19.0,,27.33,28.0,7.0,3.75,1.5,,6.5,4.5,11.75
2000-10-31,9.46,6.25,16.5,5.75,3.5,5.0,5.85,12.0,5.25,5.4,6.0,6.5,8.0,10.0,11.0,,8.4,8.0,10.77,0.25,5.25,,,7.88,17.09,5.5,7.0,6.5,,15.0,19.0,,26.34,28.0,7.0,3.75,1.5,,6.5,4.75,12.0
